id,code,type,name,amount,account_number
4616,8006,federal_account,"Federal Old-Age and Survivors Insurance Trust Fund - Treasury Managed, Social Security Administration",280866924448.67,028-8006
4324,0550,federal_account,"Interest on the Public Debt (Indefinite), Bureau of the Fiscal Service, Treasury",210005326305.35,020-0550
5450,0512,federal_account,"Grants to States for Medicaid, Centers for Medicare and Medicaid Services, Health and Human Services",167110279408.85,075-0512
5459,0580,federal_account,"Payments to Health Care Trust Funds, Centers for Medicare and Medicaid Services, Health and Human Services",122405206877.3,075-0580
5963,0040,federal_account,"Payments to Military Retirement Fund, Defense",120438000000.0,097-0040
5598,8004,federal_account,"Federal Supplementary Medical Insurance Trust Fund-Treasury Managed, Health and Human Services",107353183274.32,075-8004
5599,8005,federal_account,"Federal Hospital Insurance Trust Fund - Treasury Managed, Health and Human Services",96720998426.33,075-8005
4329,0903,federal_account,"Refunding Internal Revenue Collections (Indefinite), Treasury",63219836108.86,020-0903
3551,3505,federal_account,"Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture",41719537958.32,012-3505
6018,4930,federal_account,"Department of Defense Working Capital Fund, Defense",41481747158.64,097-4930
4127,4204,federal_account,"Pension Benefit Guaranty Corporation Fund, Pension Benefit Guaranty Corporation, Labor",39809947684.31,016-4204
4649,0102,federal_account,"Compensation and Pensions, Veterans Benefits Administration, Veterans Affairs",37905867677.2,036-0102
4617,8007,federal_account,"Federal Disability Insurance Trust Fund - Treasury Managed, Social Security Administration",37445401678.4,028-8007
4580,8135,federal_account,"Civil Service Retirement and Disability Fund, Office of Personnel Management",25093438130.49,024-8135
5887,0243,federal_account,"Federal Direct Student Loan Program, Education",22985752902.0,091-0243
4352,0949,federal_account,"Refundable Premium Assistance Tax Credit, Internal Revenue Service, Treasury",21278078944.25,020-0949
6052,8097,federal_account,Department of Defense Military Retirement Fund,17887180874.07,097-8097
4663,0160,federal_account,"Medical Services, Veterans Health Administration, Veterans Affairs",17676848142.27,036-0160
4346,0936,federal_account,"U.S. Coronavirus Refundable Credits, Internal Revenue Service, Treasury",17321445791.32,020-0936
4605,0406,federal_account,"Supplemental Security Income Program, Social Security Administration",16816781829.15,028-0406
4175,1804,federal_account,"Operation and Maintenance, Navy",15618627300.37,017-1804
4807,3400,federal_account,"Operation and Maintenance, Air Force",15216384599.84,057-3400
4582,8440,federal_account,"Employees' Health Benefits Fund, Office of Personnel Management",14955589161.3,024-8440
5610,8308,federal_account,"Medicare Prescription Drug Account, Centers for Medicare and Medicaid Services, Health and Human Services",14645231042.71,075-8308
4501,2020,federal_account,"Operation and Maintenance, Army",14232175446.03,021-2020
4604,0404,federal_account,"Payments to Social Security Trust Funds, Social Security Administration",13115151437.2,028-0404
4500,2010,federal_account,"Military Personnel, Army",12890365290.68,021-2010
5965,0100,federal_account,"Operation and Maintenance, Defense-Wide, Defense",12592940233.78,097-0100
4569,0200,federal_account,"Payment to Civil Service Retirement and Disability Fund, Office of Personnel Management",11508750000.0,024-0200
5901,0900,federal_account,"Education for the Disadvantaged, Education",10770213133.97,091-0900
5964,0041,federal_account,"Concurrent Receipt Accrual Payments to the Military Retirement Fund, Defense",10612441000.0,097-0041
5974,0130,federal_account,"Defense Health Program, Defense",10602196306.25,097-0130
5237,0702,federal_account,"Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security",10153403810.3,070-0702
4809,3500,federal_account,"Military Personnel, Air Force",10131882545.77,057-3500
6011,0850,federal_account,Payment to Department of Defense Medicare-Eligible Retiree Health Care Fund,9981000000.0,097-0850
4810,3600,federal_account,"Research, Development, Test, and Evaluation, Air Force",9851509503.37,057-3600
5695,0302,federal_account,"Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",9382407540.0,086-0302
5891,0300,federal_account,"Special Education, Education",9283383107.02,091-0300
4169,1453,federal_account,"Military Personnel, Navy",8984968348.51,017-1453
3556,3539,federal_account,"Child Nutrition Programs, Food and Nutrition Service",8665412620.93,012-3539
3564,4085,federal_account,"Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture",8021978435.94,012-4085
4508,2040,federal_account,"Research, Development, Test, and Evaluation, Army",7360631543.1,021-2040
4657,0140,federal_account,"Medical Community Care, Veterans Health Administration, Veterans Affairs",7205302472.3,036-0140
4804,3080,federal_account,"Other Procurement, Air Force",7089780103.55,057-3080
4141,8042,federal_account,"Unemployment Trust Fund - Treasury Managed, Labor",6656550440.02,016-8042
5988,0400,federal_account,"Research, Development, Test, and Evaluation, Defense-Wide",6179295263.45,097-0400
4398,4444,federal_account,"Exchange Stabilization Fund, Office of the Secretary, Treasury",6150979389.53,020-4444
4170,1506,federal_account,"Aircraft Procurement, Navy",6017354867.49,017-1506
5349,1037,federal_account,"Economic Support Fund, Funds Appropriated to the President",5792496316.6,072-1037
4166,1319,federal_account,"Research, Development, Test, and Evaluation, Navy",5290089345.12,017-1319
5122,8083,federal_account,"Federal-Aid Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",5228427840.79,069-8083
5413,0140,federal_account,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",4949650944.21,075-0140
4730,4534,federal_account,"Acquisition Services Fund, General Services Administration",4890569388.46,047-4534
5542,1502,federal_account,"Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services",4514664462.17,075-1502
5556,1552,federal_account,"Temporary Assistance for Needy Families, Administration for Children and Families, Health and Human Services",4251799232.56,075-1552
5198,0530,federal_account,"Operations and Support, U.S. Customs and Border Protection, Homeland Security",3875284064.21,070-0530
4173,1611,federal_account,"Shipbuilding and Conversion, Navy",3803834520.29,017-1611
4155,1105,federal_account,"Military Personnel, Marine Corps",3788780579.7,017-1105
5787,0240,federal_account,"Weapons Activities, National Nuclear Security Administration, Energy",3498903732.57,089-0240
4570,0206,federal_account,"Government Payment for Annuitants, Employees' Health Benefits, Office of Personnel Management",3463058277.16,024-0206
5667,0162,federal_account,"Community Development Fund, Community Planning and Development, Housing and Urban Development",3367391426.77,086-0162
6363,3620,federal_account,"Research, Development, Test, and Evaluation, Space Force, Air Force",3355271636.33,057-3620
5452,0515,federal_account,"State Children's Health Insurance Fund, Centers for Medicare and Medicaid Services, Health and Human Services",3340109311.0,075-0515
4656,0137,federal_account,"Readjustment Benefits, Veterans Benefits Administration, Veterans Affairs",3299103119.27,036-0137
5543,1503,federal_account,"Refugee and Entrant Assistance, Administration for Children and Families, Health and Human Services",3276665314.45,075-1503
4389,1880,federal_account,"Credit Reform:  Interest Paid on Uninvested Funds (Indefinite),  Bureau of the Fiscal Service, Treasury",3183305055.7,020-1880
5443,0390,federal_account,"Indian Health Services, Indian Health Service, Health and Human Services",3146655150.0,075-0390
6029,5472,federal_account,"Department of Defense, Medicare-Eligible Retiree Health Care Fund",3120412792.78,097-5472
4618,8704,federal_account,"Salaries and Expenses, Social Security Administration",3087271371.77,028-8704
4336,0922,federal_account,"Payment Where Child Tax Credit Exceeds Liability for Tax, Internal Revenue Service, Treasury",3057738875.24,020-0922
4507,2035,federal_account,"Other Procurement, Army",2781975806.41,021-2035
5960,8863,federal_account,"Harbor Maintenance Trust Fund - Treasury Managed, Corps of Engineers - Civil",2730537716.94,096-8863
4495,1004,federal_account,"Medicare-Eligible Retiree Health Fund Contribution, Army",2694171000.0,021-1004
4732,4542,federal_account,"Federal Buildings Fund, General Services Administration",2670418624.43,047-4542
5944,4902,federal_account,"Revolving Fund, Corps of Engineers, Civil",2646783219.76,096-4902
