id,code,type,name,amount,account_number
4616,8006,federal_account,"Federal Old-Age and Survivors Insurance Trust Fund - Treasury Managed, Social Security Administration",317755611463.49,028-8006
4324,0550,federal_account,"Interest on the Public Debt (Indefinite), Bureau of the Fiscal Service, Treasury",288010722716.21,020-0550
5450,0512,federal_account,"Grants to States for Medicaid, Centers for Medicare and Medicaid Services, Health and Human Services",174794612295.45,075-0512
5963,0040,federal_account,"Payments to Military Retirement Fund, Defense",151521000000.0,097-0040
5459,0580,federal_account,"Payments to Health Care Trust Funds, Centers for Medicare and Medicaid Services, Health and Human Services",120860861693.89,075-0580
5598,8004,federal_account,"Federal Supplementary Medical Insurance Trust Fund-Treasury Managed, Health and Human Services",111498376840.58,075-8004
5599,8005,federal_account,"Federal Hospital Insurance Trust Fund - Treasury Managed, Health and Human Services",87161866230.72,075-8005
4777,4596,federal_account,"Deposit Insurance Fund, Federal Deposit Insurance Corporation",65698085205.39,051-4596
4329,0903,federal_account,"Refunding Internal Revenue Collections (Indefinite), Treasury",56737580786.19,020-0903
4649,0102,federal_account,"Compensation and Pensions, Veterans Benefits Administration, Veterans Affairs",44580418253.23,036-0102
6018,4930,federal_account,"Department of Defense Working Capital Fund, Defense",42035369615.83,097-4930
4617,8007,federal_account,"Federal Disability Insurance Trust Fund - Treasury Managed, Social Security Administration",39099376369.52,028-8007
3551,3505,federal_account,"Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture",30032436846.34,012-3505
4352,0949,federal_account,"Refundable Premium Assistance Tax Credit, Internal Revenue Service, Treasury",27616347189.08,020-0949
4580,8135,federal_account,"Civil Service Retirement and Disability Fund, Office of Personnel Management",26621357512.94,024-8135
4663,0160,federal_account,"Medical Services, Veterans Health Administration, Veterans Affairs",20863392510.41,036-0160
4501,2020,federal_account,"Operation and Maintenance, Army",20227430012.91,021-2020
5964,0041,federal_account,"Concurrent Receipt Accrual Payments to the Military Retirement Fund, Defense",19874141000.0,097-0041
4175,1804,federal_account,"Operation and Maintenance, Navy",19358515698.76,017-1804
6052,8097,federal_account,Department of Defense Military Retirement Fund,19234408271.48,097-8097
4595,5183,federal_account,"Universal Service Fund, Federal Communications Commission",18049962430.18,027-5183
4605,0406,federal_account,"Supplemental Security Income Program, Social Security Administration",17734486312.51,028-0406
4582,8440,federal_account,"Employees' Health Benefits Fund, Office of Personnel Management",17364505054.16,024-8440
4807,3400,federal_account,"Operation and Maintenance, Air Force",16925589776.62,057-3400
5610,8308,federal_account,"Medicare Prescription Drug Account, Centers for Medicare and Medicaid Services, Health and Human Services",13729959769.03,075-8308
4809,3500,federal_account,"Military Personnel, Air Force",13338023692.08,057-3500
4500,2010,federal_account,"Military Personnel, Army",13059400481.98,021-2010
4604,0404,federal_account,"Payments to Social Security Trust Funds, Social Security Administration",13043757187.61,028-0404
5965,0100,federal_account,"Operation and Maintenance, Defense-Wide, Defense",12888535009.14,097-0100
5974,0130,federal_account,"Defense Health Program, Defense",12533815667.15,097-0130
5237,0702,federal_account,"Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security",12083899544.05,070-0702
5901,0900,federal_account,"Education for the Disadvantaged, Education",10770301043.63,091-0900
4810,3600,federal_account,"Research, Development, Test, and Evaluation, Air Force",9922512977.31,057-3600
4141,8042,federal_account,"Unemployment Trust Fund - Treasury Managed, Labor",9857532550.87,016-8042
6011,0850,federal_account,Payment to Department of Defense Medicare-Eligible Retiree Health Care Fund,9584000000.0,097-0850
5891,0300,federal_account,"Special Education, Education",9283383000.0,091-0300
4169,1453,federal_account,"Military Personnel, Navy",8920104688.44,017-1453
4657,0140,federal_account,"Medical Community Care, Veterans Health Administration, Veterans Affairs",8574631200.08,036-0140
3556,3539,federal_account,"Child Nutrition Programs, Food and Nutrition Service",8243503578.48,012-3539
4799,3010,federal_account,"Aircraft Procurement, Air Force",7789320197.15,057-3010
5988,0400,federal_account,"Research, Development, Test, and Evaluation, Defense-Wide",7698472040.36,097-0400
5695,0302,federal_account,"Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",7599494202.0,086-0302
3564,4085,federal_account,"Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture",7052746509.29,012-4085
4166,1319,federal_account,"Research, Development, Test, and Evaluation, Navy",6662034443.43,017-1319
4730,4534,federal_account,"Acquisition Services Fund, General Services Administration",6205100714.0,047-4534
5787,0240,federal_account,"Weapons Activities, National Nuclear Security Administration, Energy",5959334661.88,089-0240
4804,3080,federal_account,"Other Procurement, Air Force",5778468494.49,057-3080
5887,0243,federal_account,"Federal Direct Student Loan Program, Education",5291582009.0,091-0243
5122,8083,federal_account,"Federal-Aid Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",4961315285.62,069-8083
3573,4336,federal_account,"Commodity Credit Corporation Fund, Agriculture",4889313218.88,012-4336
4508,2040,federal_account,"Research, Development, Test, and Evaluation, Army",4705417817.88,021-2040
5198,0530,federal_account,"Operations and Support, U.S. Customs and Border Protection, Homeland Security",4549296180.19,070-0530
5452,0515,federal_account,"State Children's Health Insurance Fund, Centers for Medicare and Medicaid Services, Health and Human Services",4424688141.0,075-0515
6363,3620,federal_account,"Research, Development, Test, and Evaluation, Space Force, Air Force",4317852600.97,057-3620
4173,1611,federal_account,"Shipbuilding and Conversion, Navy",4241851310.76,017-1611
5556,1552,federal_account,"Temporary Assistance for Needy Families, Administration for Children and Families, Health and Human Services",4240423015.9,075-1552
4155,1105,federal_account,"Military Personnel, Marine Corps",3774097874.11,017-1105
4656,0137,federal_account,"Readjustment Benefits, Veterans Benefits Administration, Veterans Affairs",3692778682.36,036-0137
5542,1502,federal_account,"Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services",3685900633.61,075-1502
4570,0206,federal_account,"Government Payment for Annuitants, Employees' Health Benefits, Office of Personnel Management",3683733687.57,024-0206
4174,1612,federal_account,"National Sea-Based Deterrence Fund, Navy",3489072412.75,017-1612
5443,0390,federal_account,"Indian Health Services, Indian Health Service, Health and Human Services",3482917290.18,075-0390
6029,5472,federal_account,"Department of Defense, Medicare-Eligible Retiree Health Care Fund",3455953955.5,097-5472
4618,8704,federal_account,"Salaries and Expenses, Social Security Administration",3354262799.24,028-8704
4398,4444,federal_account,"Exchange Stabilization Fund, Office of the Secretary, Treasury",3108473786.0,020-4444
4179,1810,federal_account,"Other Procurement, Navy",3050162007.0,017-1810
5126,8104,federal_account,"Operations, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",3030126527.0,069-8104
4665,0162,federal_account,"Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",3020727708.74,036-0162
4170,1506,federal_account,"Aircraft Procurement, Navy",2980107901.85,017-1506
4389,1880,federal_account,"Credit Reform:  Interest Paid on Uninvested Funds (Indefinite),  Bureau of the Fiscal Service, Treasury",2968868582.69,020-1880
4661,0152,federal_account,"Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",2898387248.53,036-0152
5667,0162,federal_account,"Community Development Fund, Community Planning and Development, Housing and Urban Development",2862721161.0,086-0162
5944,4902,federal_account,"Revolving Fund, Corps of Engineers, Civil",2849474403.11,096-4902
4495,1004,federal_account,"Medicare-Eligible Retiree Health Fund Contribution, Army",2846715000.0,021-1004
5046,1301,federal_account,"Operations, Federal Aviation Administration, Transportation",2809522224.61,069-1301
5546,1515,federal_account,"Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services",2712593821.56,075-1515
4732,4542,federal_account,"Federal Buildings Fund, General Services Administration",2692220712.92,047-4542
