id,code,type,name,amount,account_number
4616,8006,federal_account,"Federal Old-Age and Survivors Insurance Trust Fund - Treasury Managed, Social Security Administration",646512405957.72,028-8006
4324,0550,federal_account,"Interest on the Public Debt (Indefinite), Bureau of the Fiscal Service, Treasury",522022587689.53,020-0550
5450,0512,federal_account,"Grants to States for Medicaid, Centers for Medicare and Medicaid Services, Health and Human Services",385514546911.86,075-0512
5459,0580,federal_account,"Payments to Health Care Trust Funds, Centers for Medicare and Medicaid Services, Health and Human Services",244466485748.64,075-0580
5598,8004,federal_account,"Federal Supplementary Medical Insurance Trust Fund-Treasury Managed, Health and Human Services",241210016668.56,075-8004
5599,8005,federal_account,"Federal Hospital Insurance Trust Fund - Treasury Managed, Health and Human Services",195340403231.2,075-8005
4329,0903,federal_account,"Refunding Internal Revenue Collections (Indefinite), Treasury",191271619233.84,020-0903
5963,0040,federal_account,"Payments to Military Retirement Fund, Defense",151521000000.0,097-0040
4649,0102,federal_account,"Compensation and Pensions, Veterans Benefits Administration, Veterans Affairs",87971206120.03,036-0102
4617,8007,federal_account,"Federal Disability Insurance Trust Fund - Treasury Managed, Social Security Administration",80853898285.91,028-8007
6018,4930,federal_account,"Department of Defense Working Capital Fund, Defense",78767582414.46,097-4930
4777,4596,federal_account,"Deposit Insurance Fund, Federal Deposit Insurance Corporation",68047568835.93,051-4596
4352,0949,federal_account,"Refundable Premium Assistance Tax Credit, Internal Revenue Service, Treasury",58257604481.12,020-0949
3551,3505,federal_account,"Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture",55752915223.2,012-3505
4580,8135,federal_account,"Civil Service Retirement and Disability Fund, Office of Personnel Management",53704164807.72,024-8135
4331,0906,federal_account,"Payment Where Earned Income Credit Exceeds Liability for Tax, Internal Revenue Service, Treasury",47605478465.95,020-0906
5610,8308,federal_account,"Medicare Prescription Drug Account, Centers for Medicare and Medicaid Services, Health and Human Services",47151045071.66,075-8308
6052,8097,federal_account,Department of Defense Military Retirement Fund,38866001954.0,097-8097
4663,0160,federal_account,"Medical Services, Veterans Health Administration, Veterans Affairs",38785805826.51,036-0160
4501,2020,federal_account,"Operation and Maintenance, Army",36721301024.52,021-2020
4175,1804,federal_account,"Operation and Maintenance, Navy",36167438862.31,017-1804
4582,8440,federal_account,"Employees' Health Benefits Fund, Office of Personnel Management",34121637765.58,024-8440
4605,0406,federal_account,"Supplemental Security Income Program, Social Security Administration",30105372188.83,028-0406
4807,3400,federal_account,"Operation and Maintenance, Air Force",29400805228.15,057-3400
4604,0404,federal_account,"Payments to Social Security Trust Funds, Social Security Administration",27325888981.79,028-0404
4500,2010,federal_account,"Military Personnel, Army",26234843440.55,021-2010
5965,0100,federal_account,"Operation and Maintenance, Defense-Wide, Defense",25403681015.82,097-0100
